,date,time_str,time_passed,event,elev_spec,elev_calc,lat,lon,dist
0,2023-10-14 06:27:00,6:27,0,出発,0,826.632059100084,37.17995491275357,139.64041776029742,0.0
1,2023-10-14 06:47:00,6:47,20.0,林道出会い,0,756.5546637522057,37.18480439652817,139.6542023919584,1337.1514859366293
2,2023-10-14 07:04:00,7:04~7:09,17.0,レスト1,780,772.8761870628223,37.179983355629005,139.6595590116008,715.9086080250073
3,2023-10-14 07:31:00,7:31,22.0,分岐,880,897.012166429311,37.16852180478237,139.6670648622391,1436.0876346095947
4,2023-10-14 07:49:00,7:49~8:10,18.0,レスト2,1000,1007.5414831778035,37.16713334755138,139.67537804669647,754.2491073689037
5,2023-10-14 08:37:00,8:37,27.0,着,1162,1164.9240971254185,37.1678431864476,139.67976907162563,397.870563700523
6,2023-10-14 08:54:00,8:54~8:59,17.0,レスト3,1120,1129.99825595133,37.171221362765664,139.68134097189485,400.0618620886193
7,2023-10-14 09:29:00,9:29,30.0,中の森着,0,1224.20968041569,37.17298263526999,139.68010370813803,224.2357337304779
8,2023-10-14 09:30:00,9:30~9:50,1.0,レスト4,0,1224.20968041569,37.17298263526999,139.68010370813803,0.0
9,2023-10-14 10:35:00,10:35~10:40,45.0,レスト5,0？1280,1146.7326220078394,37.17317214032428,139.678028850486,185.46343320637948
10,2023-10-14 11:23:00,11:23,43.0,コースマネージ開始,？1120,1130.8059589061886,37.17112543810724,139.68120668491142,362.2787944173966
11,2023-10-14 12:17:00,12:17~12:22,54.0,レスト6,0,846.6634704722092,37.1717302343528,139.66549526899874,1396.966960669719
12,2023-10-14 13:10:00,13:10,48.0,小屋着,0,808.1815225873142,37.17961357785534,139.64358939568768,2133.0654452201993
